'Time (h)';'January (kWh/h)';'February (kWh/h)';'March (kWh/h)';'April (kWh/h)';'May (kWh/h)';'June (kWh/h)';'July (kWh/h)';'August (kWh/h)';'September (kWh/h)';'October (kWh/h)';'November (kWh/h)';'December (kWh/h)'
0;0,068243949;0,071989861;0,08235389;0,13642282;0,152110521;0,332814353;0,343991001;0,089910826;0,060825796;0,055505583;0,064275178;0,04379139
1;0,074327947;0,070615378;0,083488662;0,131699146;0,152726984;0,334968762;0,346940975;0,092033951;0,058956792;0,057680176;0,064519708;0,043164438
2;0,073771418;0,071081531;0,083631439;0,13466263;0,152571311;0,334926929;0,362809854;0,092209757;0,064438961;0,057941651;0,06412228;0,043948728
3;0,073195387;0,071006946;0,082048406;0,133086414;0,154644866;0,226887502;0,323063111;0,090039989;0,062734757;0,058173048;0,064634781;0,043824421
4;0,07266835;0,070226474;0,084904206;0,131796106;0,155722119;0,17246253;0,296102935;0,090447213;0,061423136;0,058496616;0,067876003;0,047381205
5;0,071984343;0,068681513;0,081413645;0,13216219;0,153972362;0,170198309;0,186422897;0,074839953;0,063850199;0,061225876;0,072776726;0,045245163
6;0,063217355;0,06554098;0,079167145;0,13125972;0,113046113;0,134274062;0,157956744;0,121055832;0,131536381;0,126703556;0,073426142;0,048796354
7;0,126975541;0,135972562;0,085262897;0,132031668;0,10391749;0,136104264;0,16598248;0,235748565;0,340165139;0,258787011;0,116218369;0,0669722
8;0,229455743;0,218201786;0,123324591;0,135996446;0,117843934;0,146170374;0,190763261;0,264915306;0,431672929;0,394465306;0,239153057;0,12022337
9;0,268887927;0,254268637;0,148252749;0,147743478;0,131371857;0,144774191;0,194835597;0,25487912;0,390028855;0,407928754;0,323291107;0,157629543
10;0,274301474;0,245363801;0,153916174;0,148944908;0,115711223;0,136334346;0,194927732;0,180434282;0,393111503;0,376569137;0,269108788;0,136076447
11;0,284020269;0,265685367;0,15010012;0,145046633;0,109951348;0,137484759;0,166535286;0,091700279;0,470554022;0,400841968;0,2748049;0,141632269
12;0,305497037;0,232697783;0,142315999;0,149527287;0,19109398;0,137385405;0,145924002;0,0805079;0,387620078;0,395795465;0,329724006;0,169975114
13;0,295727346;0,24459132;0,146814989;0,128806517;0,255763368;0,136318659;0,140751079;0,08955159;0,358541828;0,289979558;0,309553206;0,169543058
14;0,228629988;0,201494896;0,127547012;0,134248065;0,237060897;0,135800973;0,139417645;0,085598199;0,227565087;0,261705529;0,244145412;0,120030783
15;0,26278847;0,199230729;0,120334001;0,130528172;0,147063625;0,142917844;0,137435919;0,083650879;0,220273965;0,253790986;0,239978279;0,119520324
16;0,244124788;0,205008351;0,099287794;0,130742602;0,096208597;0,142849865;0,137650341;0,09402298;0,146224277;0,276000605;0,230997793;0,117076622
17;0,201330125;0,128801811;0,087044371;0,13009434;0,094412139;0,136020598;0,136953471;0,083097898;0,077752928;0,17079178;0,257232299;0,129578376
18;0,100917165;0,074949261;0,079047831;0,12612521;0,089645453;0,222704184;0,274458072;0,095781936;0,070337643;0,080756713;0,092334868;0,062309259
19;0,088747267;0,071433142;0,077760088;0,130629482;0,090750726;0,292617892;0,336821277;0,114074722;0,069184726;0,060683122;0,070650007;0,046370499
20;0,083308033;0,07534882;0,079310422;0,128677237;0,090579487;0,299855033;0,339121284;0,111163161;0,064459504;0,059712119;0,068045416;0,044779455
21;0,081306433;0,077410544;0,081337264;0,12974255;0,138190304;0,332176397;0,334703862;0,111704033;0,063644539;0,058096511;0,066182406;0,044678766
22;0,079443252;0,076147938;0,081097637;0,130113607;0,154893942;0,345641453;0,336069125;0,102652719;0,062546254;0,057584282;0,064759443;0,042697753
23;0,077022591;0,073774558;0,080139879;0,133424378;0,161798476;0,346567012;0,33230502;0,09405258;0,060199575;0,055601477;0,064134533;0,043176425
