'Time (h)';'January (kWh/h)';'February (kWh/h)';'March (kWh/h)';'April (kWh/h)';'May (kWh/h)';'June (kWh/h)';'July (kWh/h)';'August (kWh/h)';'September (kWh/h)';'October (kWh/h)';'November (kWh/h)';'December (kWh/h)'
0;0,06986018;0,069656437;0,081845971;0,135470005;0,154270838;0,316428818;0,334238165;0,091996727;0,057411066;0,048596495;0,065227992;0,044131484
1;0,070817986;0,071162774;0,080063748;0,134736593;0,154130802;0,316624911;0,345893156;0,091318619;0,067830287;0,05514812;0,066392041;0,044037042
2;0,070408121;0,070313046;0,080160722;0,136302864;0,154721388;0,316624911;0,345989478;0,093484799;0,060100152;0,050611985;0,064277042;0,051317894
3;0,070480792;0,070556777;0,080024434;0,129267075;0,154916221;0,201387562;0,30302976;0,089792874;0,0578114;0,055409688;0,065975168;0,044484226
4;0,069124749;0,070579418;0,079332512;0,140268264;0,154715299;0,144389849;0,280683001;0,090169601;0,061604039;0,050961313;0,066663741;0,047729128
5;0,07006366;0,07053813;0,079342996;0,126134533;0,155269354;0,144585942;0,157486859;0,082239499;0,05935216;0,049670167;0,062950507;0,044560909
6;0,053417618;0,056660118;0,077683956;0,134276656;0,101982656;0,123146435;0,120113831;0,079376374;0,057853541;0,05254057;0,064134533;0,042785091
7;0,043274186;0,0515431;0,074879576;0,136439602;0,082517668;0,115237349;0,119824864;0,078943138;0,063007842;0,058761274;0,061665259;0,037242119
8;0,056270685;0,048890029;0,074331804;0,130373409;0,082365455;0,114975891;0,120113831;0,088700366;0,065204412;0,073685228;0,056520272;0,032294854
9;0,07144441;0,04998482;0,076124511;0,135084653;0,08242634;0,115171984;0,120980731;0,101057011;0,057819302;0,078717958;0,064966947;0,034411305
10;0,070642121;0,049412119;0,071941529;0,129590274;0,082742943;0,11464907;0,121654986;0,095613306;0,064904161;0,063633895;0,043796984;0,031360128
11;0,071585392;0,04904852;0,076297492;0,136949261;0,083473565;0,116087085;0,123774076;0,096743487;0,059844676;0,053421597;0,042826056;0,03085967
12;0,054299845;0,049088476;0,074908406;0,133841581;0,083978912;0,117525101;0,124352009;0,088568512;0,058396099;0,048767735;0,044043379;0,032260144
13;0,050503507;0,051463188;0,075956772;0,134388533;0,083765814;0,117263644;0,123196142;0,085347496;0,05689748;0,05279058;0,039040901;0,034063406
14;0,042729153;0,049468057;0,076559583;0,135569451;0,083729283;0,117394372;0,123677753;0,085102624;0,0589966;0,054329595;0,044670686;0,034702701
15;0,046271142;0,051475175;0,072919131;0,133617828;0,083485742;0,116740729;0,122714531;0,08687324;0,058483013;0,052580811;0,047250505;0,035651956
16;0,067377736;0,062170035;0,077366825;0,13451284;0,083126519;0,115825628;0,121943953;0,083388516;0,059338991;0,050039617;0,049183038;0,034320093
17;0,067752719;0,05914937;0,073681817;0,133182753;0,082395897;0,114322248;0,119535897;0,083445025;0,060331925;0,049624789;0,06062241;0,042992539
18;0,067422792;0,058990878;0,072761876;0,13193968;0,081872285;0,169097573;0,277889656;0,091563491;0,070079533;0,049156021;0,063127644;0,042413784
19;0,066873398;0,06023617;0,075990844;0,133742135;0,081987967;0,259561833;0,327206642;0,094426616;0,060571598;0,052543139;0,059980452;0,042661591
20;0,067377736;0,065005571;0,077039211;0,130485286;0,081951436;0,265902175;0,325472842;0,09126211;0,0564234;0,051793966;0,068304596;0,043781163
21;0,068291938;0,068533677;0,080603657;0,131168976;0,135280754;0,267993835;0,32797722;0,096743487;0,062807675;0,052465225;0,064916337;0,046269729
22;0,069770068;0,070800507;0,080808088;0,135059792;0,154039474;0,268451385;0,330963209;0,095462615;0,059441708;0,055533409;0,064836425;0,04320483
23;0,069610192;0,070947012;0,086940154;0,132337463;0,153486941;0,283952858;0,331926432;0,091630601;0,058272311;0,051115857;0,064712561;0,047120507
