'Time (h)';'January (kWh/h)';'February (kWh/h)';'March (kWh/h)';'April (kWh/h)';'May (kWh/h)';'June (kWh/h)';'July (kWh/h)';'August (kWh/h)';'September (kWh/h)';'October (kWh/h)';'November (kWh/h)';'December (kWh/h)'
0;0,725237178;0,43863142;0,752084628;0,500567801;0,75026326;0,43863142;0,719927657;0,986195445;0,721914212;0,752683747;0,883354943;0,68789997
1;0,782558329;0,466045884;0,764413884;0,474676363;0,764974304;0,466045884;0,783696084;1,036165195;0,774784964;0,733921836;0,868632361;0,715822109
2;0,675392698;0,455384704;0,789072396;0,491937322;0,791454184;0,455384704;0,668674529;1,011651733;0,671654362;0,742750971;0,815631064;0,738667496
3;0,765112761;0,464522858;0,752084628;0,483306843;0,753205469;0,464522858;0,766413052;1,039936497;0,761730457;0,73061091;0,771463317;0,72534102
4;0,690346042;0,458430755;0,77674314;0,474676363;0,773800931;0,458430755;0,682977728;1,01636586;0,682097967;0,73612912;0,842131713;0,68155403
5;0,740190522;0,444723523;0,752084628;0,474676363;0,75026326;0,444723523;0,742574388;0,982424143;0,740843247;0,735025478;0,842131713;0,748821001
6;0,717760506;0,464522858;0,752084628;0,466045884;0,75026326;0,464522858;0,718139757;1,046536275;0,717345135;0,715711745;0,842131713;0,73612912
7;0,710283834;0,450815626;0,77674314;0,483306843;0,779685349;0,450815626;0,705624459;0,956967855;0,708206981;0,721781775;0,824464614;0,684727
8;0,755143865;0,444723523;0,77674314;0,491937322;0,77674314;0,444723523;0,759857419;1,041822148;0,75716138;0,756546494;0,871576878;0,689803753
9;0,665423802;0,452338652;0,739755371;0,474676363;0,738494425;0,452338652;0,65615923;0,944711124;0,655336229;0,743854613;0,842131713;0,733590743
10;0,730221626;0,462999832;0,77674314;0,474676363;0,773800931;0,462999832;0,738402622;1,050307577;0,73627417;0,744406433;0,783241383;0,738032902
11;0,690346042;0,424924188;0,764413884;0,500567801;0,762032096;0,424924188;0,686553527;0,944711124;0,690583397;0,738888224;0,82740913;0,687265376
12;0,730221626;0,472137987;0,77674314;0,483306843;0,779685349;0,472137987;0,727675223;1,03522237;0,724525114;0,737232761;0,883354943;0,741205872
13;0,715268282;0,443200497;0,739755371;0,483306843;0,741436634;0,443200497;0,723503457;0,978652841;0,723219663;0,753235568;0,856854295;0,713283733
14;0,677884922;0,450815626;0,727426115;0,474676363;0,72378338;0,450815626;0,668674529;1,001280653;0,668390736;0,74219915;0,771463317;0,717725892
15;0,712776058;0,429493266;0,764413884;0,500567801;0,764974304;0,429493266;0,72111959;0,959796332;0,723219663;0,747717359;0,839187196;0,710110763
16;0,705299386;0,437108394;0,727426115;0,466045884;0,726725589;0,437108394;0,697876893;1,020137162;0,691888847;0,709089894;0,868632361;0,723437238
17;0,692838266;0,456907729;0,739755371;0,474676363;0,738494425;0,456907729;0,699664793;0,959796332;0,702332453;0,73061091;0,830353647;0,691707535
18;0,762620537;0,431016291;0,764413884;0,491937322;0,764974304;0,431016291;0,764625152;1,073878214;0,767604985;0,756546494;0,812686548;0,741205872
19;0,690346042;0,459953781;0,77674314;0,457415405;0,77674314;0,459953781;0,677614028;0,924911789;0,676223439;0,750476464;0,839187196;0,718360486
20;0,727729402;0,444723523;0,77674314;0,491937322;0,77674314;0,444723523;0,736018755;1,055021705;0,73627417;0,708538073;0,824464614;0,730417773
21;0,702807162;0,470614961;0,727426115;0,483306843;0,72378338;0,470614961;0,697876893;0,977710016;0,695152474;0,74219915;0,830353647;0,697418881
22;0,730221626;0,452338652;0,752084628;0,491937322;0,753205469;0,452338652;0,733038922;1,017308686;0,730399642;0,760961061;0,856854295;0,723437238
23;0,702807162;0,456907729;0,752084628;0,474676363;0,753205469;0,456907729;0,698472859;0,981481318;0,701027002;0,774204764;0,812686548;0,738667496
