'Time (h)';'January (kWh/h)';'February (kWh/h)';'March (kWh/h)';'April (kWh/h)';'May (kWh/h)';'June (kWh/h)';'July (kWh/h)';'August (kWh/h)';'September (kWh/h)';'October (kWh/h)';'November (kWh/h)';'December (kWh/h)'
0;0,753897753;0,437869907;0,802634578;0,535089719;0,799757751;0,437869907;0,753897753;0,989966747;0,753897753;0,805934467;0,824464614;0,721129623
1;0,64728595;0,456907729;0,724960264;0,483306843;0,719206611;0,456907729;0,651093514;1,108762757;0,64728595;0,764685853;0,846548487;0,640363106
2;0,761512882;0,475945551;0,724960264;0,466045884;0,724960264;0,475945551;0,753897753;0,950368077;0,761512882;0,734542634;0,883354943;0,738436734
3;0,746282625;0,437869907;0,724960264;0,483306843;0,724960264;0,437869907;0,753897753;1,108762757;0,746282625;0,753580456;0,721406537;0,738436734
4;0,654901079;0,437869907;0,750851702;0,535089719;0,747974875;0,437869907;0,651093514;0,871170737;0,654901079;0,780550704;0,817103323;0,721129623
5;0,753897753;0,456907729;0,750851702;0,483306843;0,753728528;0,456907729;0,753897753;1,108762757;0,753897753;0,763099367;0,846548487;0,674977327
6;0,685361594;0,456907729;0,724960264;0,500567801;0,724960264;0,456907729;0,685361594;0,950368077;0,685361594;0,73612912;0,853909779;0,698053475
7;0,685361594;0,494983373;0,724960264;0,500567801;0,724960264;0,494983373;0,685361594;1,108762757;0,685361594;0,753580456;0,758212993;0,721129623
8;0,685361594;0,456907729;0,699068826;0,483306843;0,701945652;0,456907729;0,685361594;0,989966747;0,685361594;0,74247506;0,809742031;0,698053475
9;0,723437238;0,437869907;0,750851702;0,51782876;0,747974875;0,437869907;0,719629674;1,069164087;0,723437238;0,774204764;0,853909779;0,738436734
10;0,685361594;0,437869907;0,724960264;0,483306843;0,724960264;0,437869907;0,685361594;0,910769407;0,685361594;0,748821001;0,787658158;0,657670216
11;0,685361594;0,456907729;0,724960264;0,500567801;0,719206611;0,456907729;0,685361594;1,108762757;0,685361594;0,707572386;0,809742031;0,698053475
12;0,715822109;0,437869907;0,724960264;0,535089719;0,730713917;0,437869907;0,719629674;0,910769407;0,715822109;0,707572386;0,853909779;0,738436734
13;0,685361594;0,456907729;0,673177388;0,483306843;0,667423735;0,456907729;0,685361594;1,108762757;0,685361594;0,748821001;0,787658158;0,738436734
14;0,715822109;0,456907729;0,750851702;0,483306843;0,753728528;0,456907729;0,719629674;0,910769407;0,715822109;0,718677783;0,809742031;0,617286958
15;0,654901079;0,399794263;0,724960264;0,500567801;0,724960264;0,399794263;0,651093514;1,108762757;0,654901079;0,747234516;0,853909779;0,721129623
16;0,791973398;0,437869907;0,699068826;0,535089719;0,701945652;0,437869907;0,788165833;0,910769407;0,791973398;0,675842683;0,787658158;0,692284438
17;0,578749791;0,437869907;0,750851702;0,483306843;0,747974875;0,437869907;0,582557355;1,069164087;0,578749791;0,732956149;0,714045246;0,721129623
18;0,791973398;0,456907729;0,699068826;0,500567801;0,701945652;0,456907729;0,788165833;0,950368077;0,791973398;0,74247506;0,883354943;0,761512882
19;0,578749791;0,456907729;0,77674314;0,466045884;0,77674314;0,456907729;0,582557355;1,108762757;0,578749791;0,755166942;0,853909779;0,698053475
20;0,791973398;0,456907729;0,64728595;0,535089719;0,644409123;0,456907729;0,788165833;0,950368077;0,791973398;0,699639961;0,817103323;0,634594069
21;0,578749791;0,437869907;0,699068826;0,51782876;0,696191999;0,437869907;0,582557355;1,108762757;0,578749791;0,717091297;0,787658158;0,721129623
22;0,791973398;0,456907729;0,750851702;0,500567801;0,747974875;0,456907729;0,788165833;0,910769407;0,791973398;0,753580456;0,809742031;0,761512882
23;0,685361594;0,456907729;0,718360486;0,483306843;0,730713917;0,456907729;0,685361594;1,148361426;0,685361594;0,761512882;0,824464614;0,680746364
