'Time (h)';'January (kWh/h)';'February (kWh/h)';'March (kWh/h)';'April (kWh/h)';'May (kWh/h)';'June (kWh/h)';'July (kWh/h)';'August (kWh/h)';'September (kWh/h)';'October (kWh/h)';'November (kWh/h)';'December (kWh/h)'
0;1,484357267;1,677678945;2,35129891;2,781842862;2,757098637;3,19366004;1,247010546;0,814845065;0,862830554;1,006073509;1,497893044;1,785929462
1;1,616688803;1,645647481;2,389396379;2,685520858;2,768272403;3,214333577;1,257704569;0,834086557;0,836318231;1,045489375;1,503591665;1,760360678
2;1,60458389;1,656510865;2,393482588;2,745950242;2,765450745;3,21393215;1,315231248;0,835679854;0,914084295;1,050228779;1,494329854;1,792346101
3;1,592054787;1,654772724;2,348177104;2,71380911;2,803035232;2,177194411;1,171144316;0,816015651;0,889909694;1,05442299;1,506273369;1,787276522
4;1,58059133;1,636584315;2,429908426;2,687497994;2,822561106;1,654936709;1,073410296;0,819706245;0,871303993;1,060287868;1,581808029;1,932331667
5;1,565713667;1,600579957;2,330010619;2,694962949;2,790845669;1,633209424;0,675806394;0,678260552;0,905732545;1,109757424;1,696016337;1,845218191
6;1,375025067;1,527391787;2,265717122;2,676560377;2,049031734;1,288483212;0,572613018;1,09710645;1,865879559;2,296581449;1,711150583;1,990045205
7;2,761813628;3,168755991;2,440173954;2,69230142;1,883569699;1,306045683;0,601707319;2,136545328;4,825335584;4,690676951;2,708396817;2,73130459
8;4,990835174;5,085056925;3,529477243;2,773148534;2,135995239;1,402639272;0,691540757;2,400878064;6,123398626;7,149931165;5,57331327;4,903029028
9;5,848514859;5,925572462;4,24290646;3,012686151;2,381197335;1,389241616;0,706303489;2,30992198;5,532666034;7,393964604;7,534098209;6,428552313
10;5,966263595;5,71805079;4,404990366;3,037184892;2,097338522;1,308253536;0,706637487;1,635242281;5,576394234;6,825551869;6,271412947;5,549559705
11;6,177654701;6,191632255;4,295777146;2,957693891;1,99293717;1,319292804;0,60371131;0,831062546;6,674937557;7,265512173;6,404157291;5,776140925
12;6,644790558;5,422877128;4,073000179;3,049060381;3,463698277;1,318339412;0,52899282;0,7296281;5,498496873;7,17404113;7,684012907;6,932037571
13;6,432292421;5,700048611;4,201758622;2,626536304;4,635871517;1,308103001;0,510240325;0,811589376;5,086013937;5,256061433;7,213944971;6,914417162
14;4,97287438;4,695713243;3,650320442;2,737496718;4,296877503;1,303135331;0,505406457;0,775760531;3,228073024;4,743576908;5,689657008;4,895174802
15;5,715847075;4,642948235;3,443888311;2,66164314;2,665620479;1,371428253;0,498222454;0,758112336;3,124646465;4,600120862;5,592544563;4,874356937
16;5,309897935;4,77759212;2,841558256;2,666015652;1,743841186;1,370775932;0,498999759;0,852112754;2,074231381;5,002684135;5,383259919;4,774696252
17;4,379081811;3,001646108;2,491158697;2,652796724;1,71127925;1,305242827;0,496473516;0,753100769;1,102946566;3,095708168;5,994638754;5,284551074
18;2,195024328;1,746645914;2,262302423;2,571860892;1,624880077;2,137051621;0,994944951;0,868053846;0,99775871;1,463766094;2,151806683;2,541137432
19;1,930319872;1,664704961;2,225447962;2,663708993;1,64491385;2,807938004;1,221019393;1,033837954;0,981404267;1,099919652;1,646454476;1,891112367
20;1,812012447;1,755957386;2,269817618;2,623900123;1,641810026;2,877385031;1,229357209;1,007451016;0,91437571;1,08231962;1,585756094;1,826225375
21;1,768476143;1,804004581;2,32782464;2,64562327;2,504785963;3,187538265;1,213343502;1,012352841;0,902815197;1,053035716;1,542339803;1,822119016
22;1,727950548;1,77458033;2,320966667;2,653189617;2,807549885;3,316747871;1,218292752;0,930322468;0,887235725;1,043751234;1,509178548;1,741328029
23;1,675299347;1,719270186;2,293556206;2,703244727;2,792148452;3,325629464;1,230699276;0,852381013;0,864001139;1,007811651;1,494615406;1,76084953
