'Time (h)';'January (kWh/h)';'February (kWh/h)';'March (kWh/h)';'April (kWh/h)';'May (kWh/h)';'June (kWh/h)';'July (kWh/h)';'August (kWh/h)';'September (kWh/h)';'October (kWh/h)';'November (kWh/h)';'December (kWh/h)'
0;1,519511523;1,623299949;2,342383545;2,7624137;2,796255728;3,036425749;1,211655291;0,833749201;0,814391685;0,880841971;1,520097801;1,79979937
1;1,540344504;1,658404198;2,291377371;2,747458442;2,79371749;3,038307442;1,253906096;0,82760363;0,962191186;0,999594277;1,547225222;1,795947807
2;1,531429632;1,638601801;2,294152707;2,77939679;2,804422234;3,038307442;1,254255276;0,847235316;0,852537108;0,917373979;1,497936497;2,092880302
3;1,533010283;1,644281799;2,290252235;2,635927699;2,807953696;1,932499015;1,098520907;0,813776094;0,820070534;1,004335368;1,537510253;1,814185124
4;1,503515334;1,644809449;2,270449838;2,860256579;2,804311875;1,385553497;1,017511101;0,8171903;0,87387015;0,92370578;1,553557023;1,946520893
5;1,523937346;1,643847263;2,270749874;2,572051002;2,81435447;1,38743519;0,570909626;0,745321256;0,841926628;0,900302947;1,46702241;1,817312462
6;1,161873403;1,320428803;2,223269126;2,73807972;1,848499623;1,18170339;0,435427708;0,719373287;0,820668307;0,952330797;1,494615406;1,744889902
7;0,941246122;1,201179885;2,143009411;2,782185059;1,495684501;1,105808427;0,434380168;0,71544695;0,89378348;1,065084963;1,437070509;1,518832757
8;1,223929766;1,139351711;2,127332513;2,658487327;1,492925546;1,103299503;0,435427708;0,803874895;0,924942424;1,335590983;1,317169788;1,317070089
9;1,553969717;1,164865145;2,178638724;2,754555852;1,494029128;1,105181196;0,43857033;0,915860865;0,820182616;1,426812371;1,514014306;1,403384613
10;1,536519329;1,151518702;2,058924233;2,642518152;1,499767754;1,100163347;0,441014592;0,866525582;0,920683288;1,153404275;1,020661482;1,278949488
11;1,55703618;1,143045262;2,183589323;2,792577696;1,513010736;1,113962431;0,448696556;0,876768202;0,848913106;0,968299971;0,998034605;1,258539493
12;1,181062508;1,143976409;2,143834511;2,729207956;1,522170465;1,127761515;0,450791637;0,802679923;0,828364641;0,883945795;1,026403556;1,315654558
13;1,098489294;1,199317591;2,173838143;2,740361031;1,518307929;1,125252591;0,446601475;0,773488458;0,807106321;0,95686238;0,909823927;1,389196375
14;0,929391238;1,152822308;2,191090231;2,764441532;1,51764578;1,126507053;0,448347376;0,771269224;0,836882914;0,984757998;1,041022567;1,415268497
15;1,006432173;1,199596935;2,086902619;2,724645335;1,513231452;1,120234742;0,444855574;0,787315994;0,829597549;0,953060195;1,101143638;1,453981647
16;1,465516481;1,448834002;2,214193028;2,74289582;1,506720319;1,111453507;0,442062132;0,755734585;0,841739824;0,906999447;1,146180124;1,399664727
17;1,473672641;1,378439274;2,108730262;2,715773572;1,493477337;1,097027192;0,433332627;0,756246716;0,855824862;0,899480434;1,412767567;1,753350174
18;1,466496485;1,374745723;2,082402075;2,690425676;1,483986533;1,622646852;1,007384875;0,829822864;0,994097347;0,890983716;1,471150496;1,729747003
19;1,454546762;1,403766477;2,174813261;2,727180125;1,486083338;2,490734693;1,186165137;0,855770832;0,859224699;0,952377354;1,397807135;1,739853242
20;1,465516481;1,514914415;2,204816893;2,660768637;1,485421189;2,551576109;1,179879893;0,827091499;0,800381369;0,938798124;1,591796135;1,785512374
21;1,485401072;1,597134712;2,306829241;2,67470998;2,452048544;2,571647505;1,188958578;0,876768202;0,890944056;0,950965114;1,512834853;1,887002716
22;1,517551516;1,649961797;2,31267995;2,754048895;2,792062117;2,576038122;1,199783165;0,8651599;0,843196896;1,006577881;1,510972558;1,762007962
23;1,514074083;1,653376003;2,380832165;2,698537002;2,782047111;2,526717583;1,203274967;0,860908178;0,826608682;0,926506981;1,508086002;1,921699706
