'Time (h)';'January (kWh/h)';'February (kWh/h)';'March (kWh/h)';'April (kWh/h)';'May (kWh/h)';'June (kWh/h)';'July (kWh/h)';'August (kWh/h)';'September (kWh/h)';'October (kWh/h)';'November (kWh/h)';'December (kWh/h)'
0;1,895460035;1,652071979;1,548286058;1,440392653;1,11480021;1,811400503;3,243444191;2,47331092;1,739854035;1,504902107;2,057700426;1,865478017
1;1,80505733;1,559771316;1,48131052;1,398323643;1,014336904;1,442197853;2,682706064;1,948270546;1,480428476;1,418907701;1,991441736;1,779456311
2;1,947404131;1,711408119;1,619970813;1,591715508;1,184439548;1,326822025;2,213354055;1,881295008;1,575584569;1,622973792;2,12080394;1,920732836
3;1,966883167;1,724593928;1,658167799;1,587948134;1,131924638;1,245234832;2,155683203;1,758107859;1,599624003;1,644813641;2,145519483;1,952127619
4;1,822538516;1,574605351;1,484449999;1,426578948;0,943555939;1,064754072;1,807883605;1,359842609;1,245042352;1,412765244;2,013002104;1,797665286
5;1,883472936;1,639435578;1,461950404;1,460485314;0,848800775;0,877680408;1,803447386;1,212735625;1,331183657;1,47418982;1,947269276;1,763131024
6;2,077763833;1,81689459;1,593285247;1,498159054;1,088542755;1,086181012;2,256793515;1,510537569;1,55955828;1,600451448;2,111864276;2,060125673
7;2,070771359;1,814147547;1,436311331;2,234052772;2,021253223;2,197085415;3,489920539;2,634769805;2,659362385;2,22425214;1,892053701;1,854175895
8;2,140696103;1,997100646;1,677527915;3,119385658;2,244441591;2,62150364;3,478315389;3,302133196;2,659362385;3,325799533;2,325890362;2,52539636
9;2,984288198;2,709134329;2,665417093;3,341660723;3,283894322;4,394994943;4,264413461;5,566145561;4,322089902;4,013754782;2,461037055;2,711881372
10;3,48225227;3,071744075;3,236278901;3,344800201;3,497949662;4,414773656;4,149959001;5,648668991;4,341121121;4,104526655;2,620373428;2,957388577
11;3,496736682;3,38380822;3,447147195;3,516843613;3,743399785;4,228524105;4,45428365;5,615181223;4,761811216;4,085416787;2,965339306;3,142617798
12;3,563664651;3,489294691;3,442437977;3,089874562;2,651432144;1,936665688;2,964601187;2,192252861;2,176570419;3,15244573;3,081029082;3,10745564
13;2,848933871;2,656391093;2,619371411;2,614557544;2,306089529;1,663060153;2,779167218;1,793987611;2,171562204;2,039295917;2,444735313;2,452560463
14;2,100739106;1,90205294;1,816711454;3,154547815;2,602912934;1,990233037;3,063085257;2,615633937;2,688410034;2,935412229;1,969881369;1,773177355
15;2,709583845;2,552003439;2,595302077;3,318428584;3,038444199;2,858024088;4,409921456;5,08416089;4,280020893;3,959155159;2,393200777;2,559302726
16;2,984288198;2,893186245;2,863204227;2,409235662;2,872337255;2,958565881;4,6352814;5,155920394;4,100726781;3,209775334;2,808632245;3,165222042
17;2,662134911;2,404761906;2,109729431;1,194885448;2,659423544;3,256894808;5,253690379;5,301831387;4,045636412;1,838642303;2,461037055;2,77592673
18;1,95739338;1,60482283;1,184106573;0,992703045;2,559531052;3,064876466;4,764854495;5,021969319;3,941465531;1,545851825;1,919398557;2,128566301
19;2,070771359;1,75755845;1,452008723;1,258930806;1,468134225;1,676245962;3,088850819;2,415903316;2,155535914;1,755377878;2,065062503;1,987917672
20;2,061281572;1,774040711;1,574971624;1,394556269;1,256932956;1,728165084;3,471252928;2,34294782;2,133499766;1,797692585;2,122381528;2,036265638
21;1,911942296;1,643830848;1,474508317;1,291581381;1,158752907;1,677894188;3,677980751;2,198232819;1,890100497;1,622291297;2,034562471;1,889338053
22;2,023322425;1,755910224;1,60584316;1,449183192;1,278053083;1,846837365;4,11826665;3,029447079;2,087424185;1,758790354;2,152355697;2,00989402
23;1,93092187;1,646577892;1,521600492;1,391416791;1,157111816;2,022373446;3,920545035;2,975627451;1,913811034;1,606593905;2,05454525;1,884942783
