'Time (h)';'January (kWh/h)';'February (kWh/h)';'March (kWh/h)';'April (kWh/h)';'May (kWh/h)';'June (kWh/h)';'July (kWh/h)';'August (kWh/h)';'September (kWh/h)';'October (kWh/h)';'November (kWh/h)';'December (kWh/h)'
0;1,562762541;1,554826638;1,458130705;1,279651363;1,039516155;1,682838866;3,221693408;2,443769924;1,830001912;1,275413067;1,978295171;1,898528162
1;1,485845322;1,483403506;1,417474461;1,203048092;0,954401409;1,369675904;2,775298834;1,835966921;1,584599357;1,1674935;1,90782958;1,807197883
2;1,644563393;1,628996813;1,607569873;1,385137834;1,113468311;1,255948302;2,538072004;1,878663826;1,729503723;1,371559591;2,034036608;1,976158898
3;1,649447026;1,618008639;1,61306396;1,401463122;1,052074068;1,125738438;2,135041475;1,873640661;1,80663024;1,450046549;2,068743541;1,995566583
4;1,504158946;1,490271115;1,457031888;1,223140753;0,884635224;0,919710174;1,678443596;1,522019089;1,399963149;1,202812631;1,945691688;1,838021852
5;1,557878908;1,552079594;1,447142531;1,280907154;0,795334508;1,105959725;1,4055052;1,316069311;1,350882638;1,236169588;1,875226098;1,785506942
6;1,748340593;1,72789038;1,52405975;1,268349241;0,941843496;1,399343974;1,599367986;1,491880097;1,519158676;1,387256982;2,013002104;2,089180118
7;1,766654216;1,699046423;1,395498113;1,200536509;0,944634143;1,37132413;2,002398516;1,647598222;1,514484341;1,340164808;1,827898462;1,916794218
8;1,68119064;1,616635117;1,331766703;1,775688937;1,073003923;1,644929665;1,915670427;1,662667718;1,661725874;2,052433951;1,7753122;1,769524144
9;1,942465002;2,049294473;1,694376449;2,708741894;3,393427232;4,222755313;4,28283708;4,726798558;4,48034951;3,316073975;2,507312965;2,340338384
10;2,312400198;2,505303699;2,473437994;3,406961872;3,892953116;5,266082446;5,828637717;6,931968129;5,906021497;4,81909922;3,332917276;2,576655479
11;3,364823096;3,598627024;3,753560279;3,919324734;4,197133682;5,252896637;5,499581146;7,047500931;6,53705664;5,246853141;4,179556092;3,510507575
12;3,588249304;4,003815944;3,674445425;2,45883942;2,288330864;2,3602598;2,665613311;2,810460991;2,400270708;3,847823115;4,425659797;4,315355653
13;2,725067181;2,667379267;2,515193056;1,751828902;1,361835929;1,913590523;1,908017949;2,154937918;1,556553351;2,393852218;3,149917085;2,889461682
14;1,877756866;1,649599639;1,576802986;2,923482211;1,398114345;2,21191945;2,46154722;1,979127133;1,855710751;3,17479745;1,922553733;1,953326329
15;2,561465478;2,839069488;2,502007247;4,46433817;3,711561035;5,10290806;5,729155498;6,371885197;5,688664948;5,317491403;2,951141015;2,549256395
16;3,942312692;3,797787679;3,525006257;3,182175224;4,245970011;5,623747513;6,984161956;7,346379267;6,646903498;4,228484861;4,376228711;3,78449841
17;3,040061506;3,068447622;2,945929481;1,447927401;4,278062456;5,757253829;7,718799883;7,499585809;6,852574211;2,307516565;3,611624464;2,849504685
18;1,731247878;1,627623291;1,521862115;1,228163919;3,72830492;5,089722251;6,838764866;6,771226839;6,429546949;1,351937851;2,278036863;1,891678391
19;1,747119685;1,682564162;1,377917034;1,35248726;1,497182327;3,075589936;4,961356832;3,84020988;2,979888171;1,55011742;2,017209005;2,085755233
20;1,74345696;1,707287554;1,485601141;1,505693802;1,220908235;2,914063776;4,984314267;2,272982303;1,995940783;1,628604378;2,107657375;2,123428972
21;1,622587045;1,575429464;1,447142531;1,388905208;1,133002842;2,737703581;5,336328273;2,029358786;1,743526726;1,412765244;1,97408827;1,992141697
22;1,744677868;1,688058249;1,58779116;1,586064447;1,293465068;2,714628416;5,716401367;2,75269459;1,986592114;1,573663508;2,079260794;2,090321746
23;1,625028861;1,575429464;1,477752445;1,465508479;1,158118669;2,178170058;4,563427955;2,911552193;1,757549729;1,418651766;2,008795203;1,977300527
