'Time (h)';'January (kWh/h)';'February (kWh/h)';'March (kWh/h)';'April (kWh/h)';'May (kWh/h)';'June (kWh/h)';'July (kWh/h)';'August (kWh/h)';'September (kWh/h)';'October (kWh/h)';'November (kWh/h)';'December (kWh/h)'
0;1,396195262;1,57803478;2,21164572;2,616617919;2,593343353;3,003975602;1,172945526;0,766448108;0,811583544;0,946318718;1,408927094;1,67985586
1;1,520667091;1,547905795;2,247480426;2,526016869;2,603853464;3,023421254;1,183004387;0,78454677;0,786645896;0,983393516;1,41428725;1,655805709
2;1,509281137;1,558123959;2,251323938;2,582857107;2,601199396;3,023043669;1,237114323;0,786045434;0,859793117;0,987851427;1,405575536;1,685891388
3;1,497496189;1,556489052;2,208709331;2,552624967;2,636551587;2,047881994;1,101585299;0,767549168;0,837054344;0,991796527;1,416809677;1,681122912
4;1,486713593;1,539380927;2,285586298;2,527876575;2,654917741;1,556643298;1,0096561;0,771020563;0,819553711;0,997313066;1,487858027;1,817562643
5;1,472719575;1,505515014;2,191621827;2,534898156;2,625086012;1,536206484;0,635667508;0,637975903;0,851937412;1,043844425;1,59528304;1,73562319
6;1,293356745;1,436673787;2,131146982;2,517588587;1,927331419;1,211954962;0,538603206;1,031944843;1,755057395;2,160178151;1,609518401;1,87184834
7;2,597778302;2,980550706;2,295242114;2,532394706;1,771696846;1,228474326;0,565969478;2,009647225;4,53873931;4,4120786;2,547534132;2,569081319
8;4,694409208;4,783034746;3,319847258;2,608439982;2,009129808;1,31933083;0,650467344;2,258280167;5,759705117;6,725267721;5,242291564;4,611818225
9;5,501147813;5,573628652;3,990903017;2,833750487;2,239768356;1,306728915;0,664353257;2,172726334;5,204058532;6,954807022;7,086617523;6,046734488
10;5,611902973;5,378432535;4,143360102;2,856794149;1,972769071;1,230551047;0,664667418;1,538118602;5,245189537;6,420154628;5,898928266;5,219948819
11;5,810738703;5,823886074;4,040633498;2,78202444;1,874568539;1,240934647;0,567854444;0,781702367;6,278485911;6,833983903;6,023788385;5,433072461
12;6,250129465;5,100790436;3,83108816;2,867964304;3,257975172;1,240037881;0,497573789;0,686292524;5,171918817;6,747945697;7,227628179;6,520315711
13;6,050252455;5,361499578;3,952199116;2,470535648;4,360528283;1,230409452;0,47993508;0,763385787;4,783934917;4,943882602;6,785479487;6,50374185
14;4,677515177;4,416815766;3,433513089;2,574905672;4,0416685;1,225736832;0,475388315;0,729684963;3,036344659;4,461836614;5,351725175;4,604430493
15;5,376359707;4,367184686;3,2393418;2,503557346;2,507298454;1,28997356;0,468630999;0,713084966;2,939061023;4,326901005;5,260380632;4,584849086
16;4,994521535;4,493831524;2,672786573;2,507670157;1,640267377;1,289359983;0,469362137;0,801502318;1,951034357;4,70555441;5,063526253;4,491107654
17;4,118990361;2,823366157;2,343198667;2,495236355;1,609639427;1,227719156;0,466985938;0,708371056;1,037438091;2,91184149;5,638592816;4,970680127
18;2,06465292;1,642905521;2,127935096;2,419107631;1,528371851;2,010123447;0,93585113;0,816496604;0,938497768;1,376827082;2,024002146;2,390208961
19;1,815670336;1,565831373;2,093269571;2,5055005;1,547215737;2,641163164;1,148498094;0,97243412;0,923114682;1,034590957;1,548664859;1,778791525
20;1,70438967;1,651663947;2,135003933;2,46805604;1,544296262;2,70648545;1,156340693;0,947614409;0,860067223;1,018036263;1,4915716;1,717758434
21;1,663439164;1,696857424;2,189565682;2,488488961;2,356016553;2,998217424;1,141278104;0,952225095;0,849193336;0,990491649;1,45073398;1,713895968
22;1,625320548;1,669180798;2,183115032;2,495605912;2,640798097;3,119752747;1,145933398;0,875066839;0,834539192;0,98175861;1,419542306;1,637903486
23;1,575796516;1,617155749;2,15733259;2,542688046;2,626311417;3,128106826;1,157603048;0,801754644;0,812684603;0,947953624;1,405844128;1,656265526
