'Time (h)';'January (kWh/h)';'February (kWh/h)';'March (kWh/h)';'April (kWh/h)';'May (kWh/h)';'June (kWh/h)';'July (kWh/h)';'August (kWh/h)';'September (kWh/h)';'October (kWh/h)';'November (kWh/h)';'December (kWh/h)'
0;1,429261563;1,526885573;2,203259875;2,598342733;2,630174746;2,856080094;1,139690164;0,784229451;0,766021656;0,828525189;1,42981302;1,692901977
1;1,44885719;1,559904838;2,155283165;2,584275728;2,627787264;2,857850026;1,179431521;0,778448889;0,905042744;0,940224314;1,455329234;1,689279174
2;1,440471808;1,541278586;2,157893662;2,614317129;2,63785621;2,857850026;1,179759962;0,796914571;0,801901467;0,862887413;1,408967966;1,968575643
3;1,441958578;1,546621226;2,154224855;2,47936925;2,641177924;1,817720051;1,03327529;0,765442627;0,771363215;0,944683812;1,446191276;1,706433303
4;1,414215453;1,547117537;2,135598602;2,690374326;2,637752406;1,303259849;0,957076985;0,76865405;0,821967453;0,868843143;1,461284963;1,830909113
5;1,433424519;1,546212499;2,135880818;2,419286449;2,64719853;1,30502978;0,537000985;0,7010536;0,791921187;0,846830299;1,379889993;1,709374895
6;1,092865024;1,242003175;2,091220145;2,575454047;1,738709724;1,111517227;0,409565889;0,676646786;0,771925484;0,895768004;1,405844128;1,641253806
7;0,885341692;1,129836935;2,01572738;2,616939791;1,406849725;1,040129974;0,408580566;0,67295365;0,84069805;1,001825242;1,351717056;1,428623113
8;1,151235607;1,071680987;2,000981597;2,500588969;1,404254636;1,037770065;0,409565889;0,756129501;0,870006338;1,256264812;1,238937726;1,238843949
9;1,461673146;1,095679074;2,049240524;2,590951595;1,405292671;1,039539997;0,412521857;0,861464169;0,77146864;1,34206819;1,424090848;1,320031902
10;1,445259207;1,08312533;1,936636362;2,485568269;1,410690457;1,034820179;0,414820944;0,81505911;0,866000169;1,084898911;0,960040252;1,202987484
11;1,464557479;1,075155162;2,053897087;2,626715167;1,423146885;1,047799679;0,422046646;0,824693378;0,798492709;0,910788704;0,938757277;1,183789722
12;1,11091441;1,076031005;2,016503474;2,567109214;1,431762581;1,06077918;0,424017291;0,755005503;0,779164702;0,831444665;0,965441281;1,237512491
13;1,033245554;1,128085249;2,044725068;2,577599862;1,428129456;1,05841927;0,420076;0,727547838;0,759168999;0,900030438;0,85578579;1,306686362
14;0,874190919;1,08435151;2,060952485;2,600250124;1,427506634;1,059599225;0,421718205;0,725460413;0,787177039;0,926269222;0,97919201;1,331209954
15;0,94665608;1,128348002;1,962952999;2,562817585;1,423354492;1,053699452;0,418433795;0,7405541;0,780324382;0,89645408;1,035742246;1,367623773
16;1,378473506;1,362781867;2,082683113;2,5799841;1,417230081;1,04543977;0,415806267;0,710848439;0,791745477;0,853129067;1,078103833;1,316532955
17;1,386145239;1,296568168;1,983484209;2,554472752;1,404773654;1,031870292;0,407595243;0,711330153;0,804993948;0,846056638;1,328857565;1,649211587
18;1,379395304;1,293093992;1,95871976;2,53063037;1,395846547;1,526271267;0,947552197;0,780536314;0,935053869;0,838064575;1,383772895;1,627010305
19;1,368155324;1,320391086;2,04564227;2,565201823;1,397818815;2,342799846;1,115713973;0,804943128;0,808191855;0,895811796;1,314785694;1,636516293
20;1,378473506;1,424937496;2,073863865;2,502734784;1,397195993;2,400027643;1,109802035;0,777967176;0,752843469;0,883039091;1,497252899;1,679463544
21;1,397177071;1,502274396;2,169817286;2,515848094;2,306411424;2,418906917;1,118341501;0,824693378;0,83802727;0,894483435;1,422981448;1,774925962
22;1,427417969;1,551963866;2,175320497;2,590474748;2,62623021;2,423036758;1,128523171;0,81377454;0,793116009;0,946793133;1,421229763;1,657355154
23;1,424147075;1,555175289;2,239424875;2,538259932;2,616810037;2,376645566;1,13180758;0,809775346;0,777513035;0,871477969;1,418514651;1,807562157
