'Time (h)';'January (kWh/h)';'February (kWh/h)';'March (kWh/h)';'April (kWh/h)';'May (kWh/h)';'June (kWh/h)';'July (kWh/h)';'August (kWh/h)';'September (kWh/h)';'October (kWh/h)';'November (kWh/h)';'December (kWh/h)'
0;5,571554785;5,586315092;5,510207257;6,595707939;5,762977521;5,710117171;6,111745937;5,974102633;5,3483271;5,576829188;5,576674766;5,677137109
1;5,719619118;5,791806247;5,662906152;6,480531415;5,456239883;5,57515261;5,871289299;5,67160419;5,235735827;5,40652412;5,575659995;5,876539637
2;5,540650391;5,565004898;5,436757156;6,49828991;5,528196382;5,574645224;5,917174602;5,587039929;5,186446943;5,476234484;5,382346094;5,460483472
3;5,697017398;5,623354239;5,462851271;6,657101593;5,450243508;5,63806842;5,842169779;5,729591112;5,24829966;5,468734002;5,731427364;5,711131942
4;6,580790803;6,516860222;6,028706984;7,726162982;7,481169555;6,473225063;6,500888607;6,504682968;6,282882992;6,704548761;5,797894874;5,723816581
5;8,455811103;8,164341158;7,658622715;8,618146809;8,580351197;7,221618775;7,335648166;7,737388284;7,83354993;9,045140442;8,348522119;8,400782832
6;9,848815114;9,881333917;9,549479595;12,25254963;13,33363144;12,21835184;11,92631394;12,28452941;13,10697726;14,39695516;9,711867137;10,40394105
7;15,38208535;15,52853528;13,15819904;13,27310495;13,10207912;12,97638588;13,86565629;13,71245737;14,01253969;15,52732196;15,77816898;16,26018526
8;15,66022489;15,27484249;14,30150785;13,25646271;13,65881946;15,03180481;16,55321146;14,57742895;13,92700898;15,5304104;16,20132854;16,80308782
9;16,47711566;15,93444373;15,0804655;12,56946265;12,35576107;13,49138223;15,36857646;13,69264517;12,65177992;14,10928961;16,15211214;17,13238105
10;14,84379539;14,30167698;13,75836368;12,54358599;12,91111764;13,50761856;15,54902924;13,55492623;11,57080705;13,25688185;15,03332696;15,76954342
11;14,32164952;13,61924339;13,43653626;12,17319452;12,08269539;12,8840417;15,32930923;13,59889964;11,42728942;12,57433796;14,48788748;15,00339122
12;13,63114389;12,69580166;12,51599388;11,7449611;10,92447252;12,35077947;14,232474;12,63438384;10,21584597;11,36720152;14,02616661;14,43511938
13;12,03472439;12,00727944;11,5302162;10,55920103;8,867715932;10,22889303;12,4738315;10,39802155;8,672910625;9,905931086;12,21074105;12,53698997
14;10,10573672;10,06805181;9,539815108;11,24417155;9,891250998;11,45372179;13,26005853;11,33354389;9,057073982;10,16844797;10,45975346;11,13609842
15;11,00104161;10,55209764;10,47678712;12,42840946;12,00474251;14,0302257;15,58873768;14,42086426;11,70466019;12,44815338;11,53794779;12,42993162
16;14,03566856;13,40715622;12,74165965;12,45682305;12,5416487;13,30060525;15,02134825;13,36550228;11,04650863;12,85935629;15,49098874;15,65893337
17;15,14638169;13,65273084;12,81172718;12,09505715;11,82761883;12,99820345;14,79236294;13,50950314;10,68698971;12,89774111;15,67770663;15,94408406
18;14,41943655;14,17483058;13,07170188;11,36462488;11,95723277;12,87846046;14,2485162;13,26209227;11,23110033;13,07378184;14,93134246;15,05869624
19;14,416669;14,1144517;13,54671141;10,54164549;8,947513844;10,06044102;11,4314233;10,67587555;9,226685729;10,96702873;14,46911421;14,59291629
20;11,00473169;11,05035026;11,53649812;9,290940071;7,495929862;8,252118861;9,036122215;8,243324178;7,201975705;8,009632681;11,08688202;11,70437026
21;8,08495838;8,081637311;8,719300162;8,48064532;6,267134271;6,710681509;7,34586647;6,82699361;6,237459903;6,664840326;7,527064886;8,070982214
22;6,252373964;6,292088416;6,528844186;6,745386681;5,945636326;6,202788556;6,448826436;6,32154094;5,583174134;5,95979499;6,673134977;6,616307793
23;5,99914244;6,037380861;5,844115283;6,808140128;5,648585139;5,753752329;6,111834178;5,855229443;5,325132331;5,570211116;5,818697682;6,014041125
