'Time (h)';'January (kWh/h)';'February (kWh/h)';'March (kWh/h)';'April (kWh/h)';'May (kWh/h)';'June (kWh/h)';'July (kWh/h)';'August (kWh/h)';'September (kWh/h)';'October (kWh/h)';'November (kWh/h)';'December (kWh/h)'
0;5,893565241;5,827323237;5,579211694;6,795354012;5,599281612;5,935396362;6,020129752;5,881613492;5,661295404;5,815907061;5,571093525;5,442863355
1;5,735711954;5,790537783;5,58428555;6,701995068;5,540650391;5,72736828;5,871719474;5,806520428;5,321910836;5,611684371;5,455409616;5,54157291
2;5,532757727;5,567288133;5,384375637;6,680684874;5,374904439;5,654304758;5,807027814;5,748678474;5,295977796;5,609147443;5,394523348;5,251901878
3;5,799980792;5,581241237;5,511222028;6,868417534;5,584623807;5,79028409;5,96431734;5,854214672;5,332058547;5,664959855;5,540650391;5,463158777
4;6,844067537;6,453944412;6,215473195;7,803021748;7,735938611;6,261137896;6,810382773;6,563539694;6,309621406;7,140183391;5,573123067;5,446553432
5;8,492506867;8,385814958;7,879697855;8,129778053;8,552265612;6,726917847;7,156673422;7,757925319;7,521709149;8,567205298;7,965953401;7,965030882
6;9,59747988;9,391706844;9,753980139;11,16702865;12,940587;11,7520645;11,65464647;12,16913544;12,82332456;14,03047939;9,264860453;9,855272749
7;15,17421102;14,64061053;12,9545683;10,64661342;12,26858301;12,01083114;12,84446563;13,47920497;13,25065596;14,97802194;14,67054628;15,34241703
8;14,66795298;14,43258245;13,09765103;10,54310676;12,70155203;14,05762452;16,26804974;14,11242216;13,47390561;14,04443249;15,60109141;16,04260911
9;15,40422581;15,18224463;13,40715622;9,948450879;11,72398917;12,33961699;14,74335611;12,71711185;11,60898177;12,38274476;14,84813123;15,81751442
10;13,89447187;13,96578773;12,86120935;10,43858534;12,1287701;12,39847371;14,67612752;12,35991241;11,0147769;12,0440649;13,56343098;14,56842341
11;13,46150285;13,80215589;12,02097885;9,98498264;11,53794779;11,95501873;14,53152264;12,27467164;10,68666756;11,59629713;13,11693168;13,66988969
12;12,69253184;12,29141536;11,42226388;9,72520123;10,22551046;11,1543643;14,09897644;11,90428017;9,54899637;10,41916262;12,64912218;13,32025491
13;11,90890302;11,58995481;10,23498166;8,798715185;8,181310386;9,213107125;11,91341311;9,48608056;7,336795298;8,838656576;11,80990646;12,20861926
14;9,189316379;9,25090735;8,775740766;8,869749164;9,217504466;10,30195655;12,71381384;9,959978679;8,243324178;9,30291437;9,231373005;9,762098308
15;10,27512149;10,17054369;9,357204626;9,745496653;10,92795759;13,26102918;15,52980374;13,30060525;10,90540712;12,15188433;10,10915004;11,16894011
16;13,33634775;12,61106827;11,71857705;10,14430171;12,25956282;12,10520486;14,8422963;12,69174257;9,980837864;11,59502867;14,60357139;14,81934863
17;14,38494459;13,20090399;11,48416492;10,20924706;12,18627379;12,23813988;15,19619773;13,41730393;10,88172913;12,25970376;15,07746951;15,31197389
18;14,20454083;14,20045356;12,30308523;10,28941398;11,93032596;12,90585928;14,28797757;13,10272488;10,96403834;12,796264;14,58733505;14,81473604
19;14,23047387;13,99242547;12,72523002;9,507025436;9,126175064;9,591616758;11,58361249;10,54651639;9,245692554;10,63480148;14,49904996;14,43004552
20;10,65735195;10,61831145;10,75150016;8,501387242;7,328902634;8,231823438;8,715615576;7,971027257;7,166539252;8,135927566;11,28628455;11,39772487
21;7,799079926;7,667864381;8,002485162;7,963558541;6,204761722;6,77461209;6,982893865;6,812158622;6,435904036;6,694952556;7,623975529;7,715028175
22;6,147258025;6,021398216;6,653854325;6,849583381;5,801108316;6,288536717;6,495803721;6,178941434;5,872142295;6,120338401;6,490476173;6,625532985
23;6,025485489;5,911041855;5,940470218;6,46632462;5,337696164;5,831889707;5,966854267;5,826815851;5,529375156;5,911041855;5,918145253;6,152280629
