'Time (h)';'Month 0 (kWh/h/kWp)';'Month 1 (kWh/h/kWp)';'Month 2 (kWh/h/kWp)';'Month 3 (kWh/h/kWp)';'Month 4 (kWh/h/kWp)';'Month 5 (kWh/h/kWp)';'Month 6 (kWh/h/kWp)';'Month 7 (kWh/h/kWp)';'Month 8 (kWh/h/kWp)';'Month 9 (kWh/h/kWp)';'Month 10 (kWh/h/kWp)';'Month 11 (kWh/h/kWp)'
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4.0;0.0;0.0;0.0;0.0;6.28763440860215e-05;0.0019325555555555556;6.416666666666665e-05;0.0;0.0;0.0;0.0;0.0
5.0;0.0;0.0;0.0;0.005081916666666668;0.02744026881720433;0.03761736111111112;0.02991163978494624;0.010948413978494628;1.8194444444444442e-05;0.0;0.0;0.0
6.0;0.0;0.0;0.01499379032258064;0.06629513888888885;0.10339620967741933;0.11029855555555562;0.09809024193548384;0.07872250000000003;0.053077305555555565;0.01615077956989246;0.0;0.0
7.0;5.793010752688173e-05;0.05632643067846606;0.144490376344086;0.20689672222222227;0.25019889784946225;0.2560771666666665;0.25263569892473126;0.236145322580645;0.1950575833333336;0.13629720430107536;0.0736559166666666;0.0006917204301075269
8.0;0.16431293010752676;0.20406613569321522;0.2993209139784947;0.35020983333333333;0.3945234946236561;0.39689069444444464;0.4116072311827953;0.3918988978494622;0.35673725000000006;0.26074499999999995;0.19969455555555554;0.19293822580645148
9.0;0.28466172043010757;0.3181179646017702;0.43319569892473153;0.4572041111111111;0.5047713440860213;0.5042988888888884;0.5404186021505378;0.5243909408602146;0.4776513888888888;0.352920483870968;0.28874586111111117;0.29723790322580657
10.0;0.3670112096774194;0.3929546312684367;0.5208616397849456;0.5351178333333333;0.5728919086021503;0.5816790000000002;0.617839193548387;0.6072687634408598;0.5545777777777774;0.43895104838709703;0.3598973611111116;0.3801859946236557
11.0;0.4262859677419351;0.4523782595870203;0.5850743548387093;0.5817248055555557;0.591160403225806;0.604225888888889;0.6586332526881722;0.6441738709677427;0.596567416666667;0.4685603225806456;0.39506055555555547;0.4241326612903224
12.0;0.42161787634408576;0.46479348082595895;0.5782946236559144;0.5668670277777781;0.5809238709677426;0.5989572499999996;0.6485939516129032;0.6390115053763441;0.5873821388888892;0.4659622849462366;0.3876539166666668;0.43018137096774184
13.0;0.4088868010752687;0.43629100294985257;0.5389903225806449;0.5228157500000007;0.5299949462365589;0.541534222222222;0.5912387365591397;0.5884725;0.5326441666666664;0.41243779569892475;0.3419840555555555;0.3859465053763442
14.0;0.3220409139784949;0.36146091445427736;0.4564686827956992;0.4373046388888885;0.4536687365591395;0.45119952777777816;0.503190913978494;0.4802781182795694;0.4157158333333333;0.31126881720430094;0.2553795277777778;0.29163596774193523
15.0;0.19677424731182805;0.24915259587020638;0.3291868010752686;0.3223744166666665;0.32893626344086;0.34060097222222213;0.3757042204301072;0.3531075268817204;0.2889170833333333;0.1940284677419355;0.12554261111111106;0.1328596774193548
16.0;0.002795806451612904;0.08767752212389376;0.17164051075268813;0.18384055555555562;0.1869309677419354;0.20745016666666677;0.23029086021505402;0.20187938172043027;0.1439876944444444;0.043104005376344096;2.469444444444445e-05;0.0
17.0;0.0;0.0;0.013593037634408608;0.04512869444444446;0.06394779569892475;0.07977608333333334;0.08718209677419354;0.06406575268817204;0.015389027777777784;0.0;0.0;0.0
18.0;0.0;0.0;0.0;0.00021330555555555558;0.010329274193548385;0.023162777777777758;0.02296956989247312;0.005443763440860216;0.0;0.0;0.0;0.0
19.0;0.0;0.0;0.0;0.0;0.0;7.244444444444444e-05;3.422043010752688e-05;0.0;0.0;0.0;0.0;0.0
20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
23.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
