Date;Season;Month;Day-type
01-gen;0;0;0
02-gen;0;0;1
03-gen;0;0;1
04-gen;0;0;0
05-gen;0;0;0
06-gen;0;0;0
07-gen;0;0;0
08-gen;0;0;0
09-gen;0;0;1
10-gen;0;0;1
11-gen;0;0;0
12-gen;0;0;0
13-gen;0;0;0
14-gen;0;0;0
15-gen;0;0;0
16-gen;0;0;1
17-gen;0;0;1
18-gen;0;0;0
19-gen;0;0;0
20-gen;0;0;0
21-gen;0;0;0
22-gen;0;0;0
23-gen;0;0;1
24-gen;0;0;1
25-gen;0;0;0
26-gen;0;0;0
27-gen;0;0;0
28-gen;0;0;0
29-gen;0;0;0
30-gen;0;0;1
31-gen;0;0;1
01-feb;0;1;0
02-feb;0;1;0
03-feb;0;1;0
04-feb;0;1;0
05-feb;0;1;0
06-feb;0;1;1
07-feb;0;1;1
08-feb;0;1;0
09-feb;0;1;0
10-feb;0;1;0
11-feb;0;1;0
12-feb;0;1;0
13-feb;0;1;1
14-feb;0;1;1
15-feb;0;1;0
16-feb;0;1;0
17-feb;0;1;0
18-feb;0;1;0
19-feb;0;1;0
20-feb;0;1;1
21-feb;0;1;1
22-feb;0;1;0
23-feb;0;1;0
24-feb;0;1;0
25-feb;0;1;0
26-feb;0;1;0
27-feb;0;1;1
28-feb;0;1;1
01-mar;0;2;0
02-mar;0;2;0
03-mar;0;2;0
04-mar;0;2;0
05-mar;0;2;0
06-mar;0;2;1
07-mar;0;2;1
08-mar;0;2;0
09-mar;0;2;0
10-mar;0;2;0
11-mar;0;2;0
12-mar;0;2;0
13-mar;0;2;1
14-mar;0;2;1
15-mar;0;2;0
16-mar;0;2;0
17-mar;0;2;0
18-mar;0;2;0
19-mar;0;2;0
20-mar;0;2;1
21-mar;0;2;1
22-mar;0;2;0
23-mar;0;2;0
24-mar;0;2;0
25-mar;0;2;0
26-mar;0;2;0
27-mar;0;2;1
28-mar;0;2;1
29-mar;0;2;0
30-mar;0;2;0
31-mar;0;2;0
